"Species","Rank","Factor_Score","Recruitment_Variation","Mean_Catch_Age","Mean_Maximum_Age","Recruitment_Adjustment","Importance_Adjustment","Ecosystem_Adjustment","Total_Adjustment","Adjusted_Maximum_Age","Target_Assessment_Frequency","Last_Assessment_Year","Years_Since_Assessment","Years_Past_Target_Frequency","Ten_Years_or_Greater","Less_Than_6_Years_Update"
"gopher and black and yellow rockfish",41,2.7,0.5,11.8,28,0,-0.2,0,-0.2,22.4,4,2019,6,2,0,1
"grass rockfish",13,3.6,NA,NA,23,0,0,0.2,0.2,27.6,6,NA,NA,4,NA,0
"greenspotted rockfish",7,6.4,0.7,19.2,83,0,0,0.2,0.2,99.6,10,2011,14,4,3,0
"greenstriped rockfish",1,10,0.84,16.8,68,0,0,0,0,68,8,2009,16,8,3,0
"honeycomb rockfish",13,3.6,NA,NA,31,0,0.2,0.2,0.4,43.4,8,NA,NA,4,NA,0
"kelp greenling",3,8.2,0.65,4.2,15,0,-0.2,0,-0.2,12,4,2015,10,6,3,0
"kelp rockfish",13,3.6,NA,NA,20,0,0.2,0.2,0.4,28,6,NA,NA,4,NA,0
"leopard shark",13,3.6,NA,NA,30,0,0.2,-0.2,0,30,6,NA,NA,4,NA,0
"lingcod",53,0,0.6,5.3,22.5,0,-0.2,-0.2,-0.4,13.5,4,2021,4,0,0,0
"longnose skate",41,2.7,0,10.1,25,0.2,-0.2,-0.2,-0.2,20,4,2019,6,2,0,1
"longspine thornyhead",7,6.4,0.6,15.3,49,0,0,-0.2,-0.2,39.2,8,2013,12,4,3,0
"olive rockfish",13,3.6,NA,NA,30,0,0,0,0,30,6,NA,NA,4,NA,0
"Pacific cod",13,3.6,NA,NA,25,0,-0.2,-0.2,-0.4,15,4,NA,NA,4,NA,0
"Pacific ocean perch",53,0,0.7,15.5,100,0,0,-0.2,-0.2,80,8,2017,8,0,0,0
"Pacific sanddab",13,3.6,NA,NA,9,0,0,0,0,9,4,NA,NA,4,NA,0
"Pacific spiny dogfish",53,0,0,22.4,83,0.2,0.2,-0.2,0.2,99.6,10,2021,4,0,0,0
"petrale sole",48,0.9,0.5,7.7,38,0,-0.2,-0.2,-0.4,22.8,6,2023,2,0,0,1
"quillback rockfish",53,0,0.4,13,95,0,-0.2,0.2,0,95,10,2021,4,0,0,0
"redbanded rockfish",13,3.6,NA,NA,106,0,0,0.2,0.2,127.2,10,NA,NA,4,NA,0
"redstripe rockfish",13,3.6,NA,NA,55,0,0.2,0,0.2,66,8,NA,NA,4,NA,0
"rex sole",53,0,0.5,8.6,29,0,0,0,0,29,6,2023,2,0,0,0
"rock sole",13,3.6,NA,NA,26,0,0.2,0.2,0.4,36.4,6,NA,NA,4,NA,0
"rosethorn rockfish",13,3.6,NA,NA,87,0,0.2,0.2,0.4,121.8,10,NA,NA,4,NA,0
"rosy rockfish",13,3.6,NA,NA,30,0,0.2,0.2,0.4,42,8,NA,NA,4,NA,0
"rougheye and black spotted rockfish",9,4.5,0.4,32.5,129,0,-0.2,0.2,0,129,10,2013,12,2,3,0
"sablefish",53,0,1.4,9.4,76,-0.2,-0.2,-0.2,-0.6,30.4,6,2019,6,0,0,0
"sand sole",13,3.6,NA,NA,17,0,0,0,0,17,4,NA,NA,4,NA,0
"sharpchin rockfish",9,4.5,0.8,13.3,68,0,0.2,0,0.2,81.6,10,2013,12,2,3,0
"shortraker rockfish",13,3.6,NA,NA,157,0,0,0.2,0.2,188.4,10,NA,NA,4,NA,0
"shortspine thornyhead",48,0.9,0.5,24.7,135,0,-0.2,-0.2,-0.4,81,8,2023,2,0,0,1
"silvergray rockfish",13,3.6,NA,NA,82,0,0,0,0,82,10,NA,NA,4,NA,0
"speckled rockfish",13,3.6,NA,NA,37,0,0.2,0.2,0.4,51.8,8,NA,NA,4,NA,0
"splitnose rockfish",3,8.2,1,15.9,112,-0.2,0.2,-0.2,-0.2,89.6,10,2009,16,6,3,0
"squarespot rockfish",53,0,0,11.6,41,0.2,0.2,0.2,0.6,65.6,8,2021,4,0,0,0
"starry flounder",13,3.6,NA,NA,42,0,0.2,0.2,0.4,58.8,8,NA,NA,4,NA,0
"starry rockfish",13,3.6,NA,NA,32,0,0,0,0,32,6,NA,NA,4,NA,0
"stripetail rockfish",13,3.6,NA,NA,38,0,0.2,0,0.2,45.6,8,NA,NA,4,NA,0
"treefish",13,3.6,NA,NA,25,0,0,0.2,0.2,30,6,NA,NA,4,NA,0
"vermilion and sunset rockfish",53,0,0.55,7.4,59,0,-0.2,0,-0.2,47.2,8,2021,4,0,0,0
"widow rockfish",44,1.8,0.6,10,37,0,-0.2,-0.2,-0.4,22.2,4,2019,6,2,0,0
"yelloweye rockfish",53,0,0.5,19.8,123,0,-0.2,0,-0.2,98.4,10,2017,8,0,0,0
"yellowmouth rockfish",13,3.6,NA,NA,99,0,0.2,0.2,0.4,138.6,10,NA,NA,4,NA,0
"yellowtail rockfish",13,3.6,0.4997,12.3,31,0,-0.2,-0.2,-0.4,18.6,4,2017,8,4,0,0
